ID,Collection,ENS,Minting Date,Tx Count,Power
6952902,0x35320adeee807132dd6849b04f7384497c94a1ab,,Sat Dec 30 2023 07:52:05 GMT+0100 (Central European Standard Time),1,12
6952553,0xb5138ed0c2419233b7004713f1d52798154cb935,orestta.eth,Fri Dec 29 2023 19:31:40 GMT+0100 (Central European Standard Time),1,19
6952543,0x7277f7849966426d345d8f6b9afd1d3d89183083,kelsos.eth,Fri Dec 29 2023 19:11:45 GMT+0100 (Central European Standard Time),1,278
6952509,0xd0f46a5d48596409264d4efc1f3b229878fff743,proofofjake.eth,Fri Dec 29 2023 17:14:10 GMT+0100 (Central European Standard Time),1,151
6952476,0x67f52cb4df6049510073d2141e1b770ec482625a,casparschwa.eth,Fri Dec 29 2023 15:59:25 GMT+0100 (Central European Standard Time),1,9
6952323,0x1a9490e2b7bc8b07ffaf43fc51ec76084463bc30,evnto.eth,Fri Dec 29 2023 12:20:25 GMT+0100 (Central European Standard Time),1,7
6952321,0xc153ded6e3ec5446ed2ab9737a7f8f8a93c4d099,,Fri Dec 29 2023 12:11:00 GMT+0100 (Central European Standard Time),1,1
6952300,0x913c44321a1a508c4b16da5ea8fc1921cc71d8a7,,Fri Dec 29 2023 10:24:45 GMT+0100 (Central European Standard Time),1,1
6952290,0x6bbc529b4bb4ff94536d6120913f6cef6e3957d8,,Fri Dec 29 2023 09:32:05 GMT+0100 (Central European Standard Time),1,5
6952200,0xabdccbcb7ae42b824b5c30128b83d2b9384f0f05,yoisha.eth,Fri Dec 29 2023 04:53:20 GMT+0100 (Central European Standard Time),1,13
6951745,0x07ab597e0e2c727b5d13e503e1dcd0627346e59b,z010o.argent.xyz,Thu Dec 28 2023 14:59:10 GMT+0100 (Central European Standard Time),1,73
6951634,0xe0ff737685fde7fd0933fc280d53978b3d0700d5,developera.eth,Thu Dec 28 2023 08:40:35 GMT+0100 (Central European Standard Time),1,87
6951617,0xb343880dc01517dcfcbb528864d567e3389753e1,ottox.eth,Thu Dec 28 2023 06:42:20 GMT+0100 (Central European Standard Time),1,395
6951549,0x74c9d38ee85faeb44851560b7ac8dccc7d23885c,andyguzman.eth,Thu Dec 28 2023 02:25:55 GMT+0100 (Central European Standard Time),1,32
6951498,0x5f95d58881ab4d3f1045f5c513c07f35501cd429,funkyenough.eth,Thu Dec 28 2023 00:38:15 GMT+0100 (Central European Standard Time),1,3
6951329,0x5403ec47bb94b3675fb56bd75c678102d32f19cf,,Wed Dec 27 2023 22:50:35 GMT+0100 (Central European Standard Time),1,7
6951279,0x2d68c7cd9bc0214508e2777c554c4051d9b67345,edruzin.eth,Wed Dec 27 2023 21:36:30 GMT+0100 (Central European Standard Time),1,14
6951254,0x99767f5cafb082975f1283b7009c2a8aa052c71d,kaffel.eth,Wed Dec 27 2023 20:25:00 GMT+0100 (Central European Standard Time),1,3
6951132,0xa8cadc2268b01395f8573682fb9dd00bd582e8a0,0xrowdy.eth,Wed Dec 27 2023 16:26:50 GMT+0100 (Central European Standard Time),1,82
6951129,0x5c07cbbd3f74925a362acab166e9b1c59a5235c3,pablito.eth,Wed Dec 27 2023 16:16:55 GMT+0100 (Central European Standard Time),1,490
6951073,0x94db037207f6fb697dbd33524aadffd108819dc8,joxes.eth,Wed Dec 27 2023 15:15:15 GMT+0100 (Central European Standard Time),1,186
6950945,0x9b18e9e9aa3dd35100b385b7035c0b1e44afca14,heeckhau.eth,Wed Dec 27 2023 09:53:20 GMT+0100 (Central European Standard Time),1,153
6950917,0xf1ebd55ecdf7fed994885ae66a92c27f8d363bdf,ecenazaltinok.eth,Wed Dec 27 2023 09:04:30 GMT+0100 (Central European Standard Time),1,72
6950758,0x75ef2d0b1b560d4b9f47315b44f5bb62b071308c,smoothoor.eth,Wed Dec 27 2023 02:20:05 GMT+0100 (Central European Standard Time),1,17
6950756,0x187089b33e5812310ed32a57f53b3fad0383a19d,,Wed Dec 27 2023 02:08:20 GMT+0100 (Central European Standard Time),1,258
6950560,0x5f00177afed6af20e7be7ae0dea08baff7681677,gssh.eth,Tue Dec 26 2023 16:45:10 GMT+0100 (Central European Standard Time),1,21
6950429,0xf7c8faf2ed24dd55de1c373c7690258dd655cab7,,Tue Dec 26 2023 13:47:15 GMT+0100 (Central European Standard Time),1,33
