voter_address,chain_id
0x0087500a23E9c1d882dd888244840c50756E2447,eip155:1
0x0192ae8CfBEe713684f23f2418764B4Ae28E07b9,eip155:1
0x01b86AEEbCD1Ff94aC1195cFc8FD9e39dB24db45,eip155:1
0x029183bd9A47CDD7f5df8Fb64382022C4b681b63,eip155:1
0x035eBd096AFa6b98372494C7f08f3402324117D3,eip155:1
0x08658eD3d0cE25F9F2736886669F7b1fc46c1168,eip155:1
0x0891e98f45E44de82f2277A8a2B4d5a0a0495De2,eip155:1
0x0aedA3B25ACA124C2a1148f263eB2509894Bc8D7,eip155:1
0x111aE4d8db445C46b4C342ABBbB508519275d3c3,eip155:1
0x119b49A1C266c67656d098c320b697cC5Ce94C43,eip155:1
0x11cef2922019C399288A4669d147bF1Ce54cf3c7,eip155:1
0x11f88913471Afe6B8DBb03D2cF452CA737adbB90,eip155:1
0x1297dc893C78e035E000E33533Ac38b0d3804E4f,eip155:1
0x13089220cd2a3e4A49f253BdC03Ab2E110cDCa5e,eip155:1
0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,eip155:1
0x1768De8F4F23D495C25Ee5A25B4E1F8f14670613,eip155:1
0x179A862703a4adfb29896552DF9e307980D19285,eip155:1
0x1855f41B8A86e701E33199DE7C25d3e3830698ba,eip155:1
0x1aC5d648599B9767b1a1bd13eB8BF082B4C157c2,eip155:1
0x1C503aC7E205e8Ce413636D6aC113Dea17EeCB15,eip155:1
0x1D5460F896521aD685Ea4c3F2c679Ec0b6806359,eip155:1
0x294C2a8BD233fAd3D9c29e9362A42f8881f4461B,eip155:1
0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,eip155:1
0x2bA0fCC894522DF700060a6015f7e96537B18412,eip155:1
0x2c2e9e1b8e8040AE1d101Cf52C221FCd58f56eBC,eip155:1
0x2e47B5463062FF6d031B03ab51723045BF0D59E9,eip155:1
0x30C7F4F7504D6366916f669cd8E731ED4dF6C702,eip155:1
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,eip155:1
0x3304D37F3FE450c4326F2F9e50498FBFB0431b29,eip155:1
0x3335cc8BDa40fB5a5F8Db1D0011dEc98728d81E1,eip155:1
0x33Dde5b4f0db040C1B006f383B59e207936C90e5,eip155:1
0x34868ed83815AaA53cD1F85032Beaee678A9e8de,eip155:1
0x3496cC53d6d8650Ec936891038E656a85475126B,eip155:1
0x34A1E55c6673e9909d041E19ead46Aa6232DFC50,eip155:1
0x37f09cA66B2577A1d043811803E26993a40EA0a7,eip155:1
0x38b4f9986E4CA146A6ed14c29fCd6E19cc0E35E9,eip155:1
0x3976641D41d423F08cb2A00B25BF225BE965568B,eip155:1
0x3996aAf7d60A9745A1Ad2EDfeB7EBbd385a94E82,eip155:1
0x399e0Ae23663F27181Ebb4e66Ec504b3AAB25541,eip155:1
0x3E47a1fbAD1B95B4bd350ABc52720e6b9Bb35539,eip155:1
0x3FB19771947072629C8EEE7995a2eF23B72d4C8A,eip155:1
0x40FC9E365e4c426083cB1DcB85D6b16AB48a403b,eip155:1
0x42E6DD8D517abB3E4f6611Ca53a8D1243C183fB0,eip155:1
